ClassName;TotalStudents;StudentRegNo;StudentName;StudentGender;StudentSubjectCombi;SubjectName;Description;SubjectGrade;SeatArrName;CommentIDs;CommentID;CommentText;CommentDatetime
5A;30;13;Timothy;M;PH EC MA(H1) HI GP;GP;H1 General Paper;B;s4;123456;123456;COMMENT TEXT;2000-11-10
5A;30;13;Timothy;M;PH EC MA(H1) HI GP;PH;H2 Physics;D;s2;123457;123457;COMMENT TEXT2;2000-11-13
5A;30;13;Timothy;M;PH EC MA(H1) HI GP;EC;H2 Economics;B;s3;123458;123458;COMMENT TEXT3;2017-02-23
5A;30;13;Timothy;M;PH EC MA(H1) HI GP;MA(H1);H1 Mathematicso;A;s5;123459;123459;COMMENT TEXT4:;2017-09-24
5A;30;13;Timothy;M;PH EC MA(H1) HI GP;HI;H2 History;E;s6;123460;123460;COMMENT TEXT5;2018-05-16
5M;22;7;Kah Leong;M;PH CP MA HI GP;CP;H2 Computing;A;s7;123463;123463;COMMENT TEXT6;2019-03-13
5M;22;7;Kah Leong;M;PH CP MA HI GP;PH;H2 Physics;A;s8;123465;123465;COMMENT TEXT7;2020-08-27
5M;22;7;Kah Leong;M;PH CP MA HI GP;MA;H2 Math;B;s9;123466;123466;COMMENT TEXT8;2021-06-06
5M;22;7;Kah Leong;M;PH CP MA HI GP;HI;H2 History;C;s10;123467;123467;COMMENT TEXT9;2022-12-31
5M;22;7;Kah Leong;M;PH CP MA HI GP;GP;H1 General Paper;B;s11;123468;123468;COMMENT TEXT10;2022-12-31
5M;22;1;Ting Fang;F;PH EC MA HI GP;GP;H1 General Paper;B;s12;123469;123469;COMMENT TEXT11;2022-12-31
5M;22;1;Ting Fang;F;PH EC MA HI GP;PH;H2 Physics;B;s13;123470;123470;COMMENT TEXT12;2022-12-31
5M;22;1;Ting Fang;F;PH EC MA HI GP;MA;H2 Mathematics;C;s14;123471;123471;COMMENT TEXT13;2022-12-31
5M;22;1;Ting Fang;F;PH EC MA HI GP;EC;H2 Economics;E;s15;123472;123472;COMMENT TEXT14;2022-12-31
5M;22;1;Ting Fang;F;PH EC MA HI GP;HI;H2 History;B;s16;123473;123473;COMMENT TEXT15;2022-12-31
